[PngImagePlugin.py:202] - 2023-08-16 21:24:25,030 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,030 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,030 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,030 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,030 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,030 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,030 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 21:24:25,030 - DEBUG - STREAM b'IDAT' 91 1063
[builder.pyw:425] - 2023-08-16 21:24:50,679 - INFO - Retrieved filename: das
[builder.pyw:391] - 2023-08-16 21:24:50,679 - INFO - Changed filetype: .py
[builder.pyw:445] - 2023-08-16 21:24:50,680 - INFO - Successfully changed config
[builder.pyw:456] - 2023-08-16 21:24:51,659 - INFO - Successfully pumped file: das.py
[builder.pyw:281] - 2023-08-16 21:25:10,214 - ERROR - Couldn't verify webhook: Invalid URL '': No scheme supplied. Perhaps you meant https://?
[connectionpool.py:1048] - 2023-08-16 21:25:13,376 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:546] - 2023-08-16 21:25:13,808 - DEBUG - https://discord.com:443 "GET /api/webhooks/1141371871200301057/XdDGpXmVt0H_iL_StuZsqVDqclpqLrW59KVFlzwzEITuDouyF00d81N32KWODDfIegCJ HTTP/1.1" 200 None
[connectionpool.py:1048] - 2023-08-16 21:25:14,424 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:546] - 2023-08-16 21:25:14,800 - DEBUG - https://discord.com:443 "GET /api/webhooks/1141371871200301057/XdDGpXmVt0H_iL_StuZsqVDqclpqLrW59KVFlzwzEITuDouyF00d81N32KWODDfIegCJ HTTP/1.1" 200 None
[builder.pyw:425] - 2023-08-16 21:25:16,687 - INFO - Retrieved filename: das
[builder.pyw:391] - 2023-08-16 21:25:16,687 - INFO - Changed filetype: .py
[builder.pyw:445] - 2023-08-16 21:25:16,688 - INFO - Successfully changed config
[builder.pyw:456] - 2023-08-16 21:25:17,681 - INFO - Successfully pumped file: das.py
[builder.pyw:425] - 2023-08-16 21:26:33,783 - INFO - Retrieved filename: das
[builder.pyw:394] - 2023-08-16 21:26:33,783 - INFO - Changed filetype: pyinstaller
